D,T,O,H,L,C
2017/1/3,1325,1960.31,1960.31,1960.04,1960.16
2017/1/3,1326,1960.01,1960.3,1959.6,1959.6
2017/1/3,1327,1959.57,1960.53,1959.57,1960.37
2017/1/3,1328,1960.4,1960.64,1960.1,1960.39
2017/1/3,1329,1960.26,1960.54,1960.1,1960.21
2017/1/3,1330,1960.22,1960.58,1960.22,1960.52
2017/1/3,1331,1960.69,1961.38,1960.69,1961.38
2017/1/3,1332,1961.37,1961.88,1961.16,1961.55
2017/1/3,1333,1961.72,1962.07,1961.51,1961.7
2017/1/3,1334,1961.69,1962.35,1961.65,1962.35
2017/1/3,1335,1962.39,1962.39,1961.79,1961.84
2017/1/3,1336,1961.85,1961.99,1961.66,1961.99
2017/1/3,1337,1961.96,1962.02,1961.32,1961.47
2017/1/3,1338,1961.47,1961.59,1961.28,1961.32
2017/1/3,1339,1961.63,1961.64,1961.21,1961.28
2017/1/3,1340,1961.2,1961.45,1961.1,1961.31
2017/1/3,1341,1961.26,1961.34,1960.97,1961.11
2017/1/3,1342,1961.19,1961.37,1960.98,1961.09
2017/1/3,1343,1960.94,1961.35,1960.94,1961.14
2017/1/3,1344,1961.33,1961.65,1961.08,1961.54
2017/1/3,1345,1961.37,1961.44,1961.16,1961.41
2017/1/3,1346,1961.3,1961.61,1961.15,1961.57
2017/1/3,1347,1961.35,1961.62,1961.23,1961.55
2017/1/3,1348,1961.53,1961.69,1961.29,1961.61
2017/1/3,1349,1961.52,1961.76,1961.37,1961.5
2017/1/3,1350,1961.48,1961.96,1961.18,1961.75
2017/1/3,1351,1961.71,1961.87,1961.44,1961.66
2017/1/3,1352,1961.59,1961.59,1961.09,1961.19
2017/1/3,1353,1961,1961.29,1960.85,1960.95
2017/1/3,1354,1960.74,1961.11,1960.74,1961.11
2017/1/3,1355,1961.16,1961.16,1960.49,1960.61
2017/1/3,1356,1960.45,1960.66,1960.44,1960.56
2017/1/3,1357,1960.41,1960.43,1959.87,1960
2017/1/3,1358,1960,1960.45,1959.95,1960.35
2017/1/3,1359,1960.29,1960.37,1959.97,1960.33
2017/1/3,1400,1960.26,1960.4,1960.01,1960.26
2017/1/3,1401,1960.17,1960.28,1959.84,1960.01
2017/1/3,1402,1959.81,1960.23,1959.8,1959.94
2017/1/3,1403,1959.86,1959.91,1959.37,1959.67
2017/1/3,1404,1959.63,1959.66,1959.37,1959.48
2017/1/3,1405,1959.56,1959.71,1959.33,1959.39
2017/1/3,1406,1959.13,1959.56,1959.13,1959.45
2017/1/3,1407,1959.43,1959.5,1959.15,1959.43
2017/1/3,1408,1959.49,1959.61,1959.39,1959.39
2017/1/3,1409,1959.52,1959.82,1959.37,1959.64
2017/1/3,1410,1959.5,1959.87,1959.4,1959.87
2017/1/3,1411,1959.94,1960.39,1959.74,1960.17
2017/1/3,1412,1960.36,1960.75,1960.11,1960.72
2017/1/3,1413,1960.54,1961.18,1960.43,1961.05
