D,T,O,H,L,C,V
2016/1/4,1333,2494.8,2494.8,2491.33,2491.33,96171
2016/1/4,1334,2491.66,2491.66,2490.46,2491.25,86272
2016/1/4,1335,2491.05,2491.26,2491.05,2491.26,12089
2016/1/4,1336,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1337,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1338,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1339,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1340,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1341,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1342,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1343,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1344,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1345,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1346,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1347,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1348,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1349,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1350,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1351,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1352,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1353,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1354,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1355,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1356,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1357,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1358,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1359,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1400,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1401,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1402,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1403,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1404,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1405,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1406,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1407,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1408,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1409,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1410,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1411,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1412,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1413,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1414,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1415,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1416,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1417,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1418,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1419,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1420,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1421,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1422,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1423,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1424,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1425,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1426,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1427,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1428,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1429,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1430,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1431,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1432,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1433,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1434,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1435,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1436,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1437,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1438,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1439,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1440,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1441,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1442,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1443,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1444,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1445,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1446,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1447,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1448,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1449,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1450,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1451,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1452,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1453,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1454,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1455,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1456,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1457,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1458,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1459,2491.26,2491.26,2491.26,2491.26,0
2016/1/4,1500,2491.24,2491.24,2491.24,2491.24,0
2016/1/5,931,2353.23,2383.32,2353.23,2383.18,443463
2016/1/5,932,2381.04,2382.64,2377.08,2379.72,141132
2016/1/5,933,2380.97,2399.33,2380.56,2399.33,138976
2016/1/5,934,2399.15,2413.47,2399.15,2413.47,129277
2016/1/5,935,2414.45,2427.19,2414.45,2427.19,132426
2016/1/5,936,2426.62,2438.13,2426.62,2437.41,119276
2016/1/5,937,2438.1,2441.1,2437.54,2441.09,125162
2016/1/5,938,2441.43,2442.56,2440.04,2440.69,124097
2016/1/5,939,2438.09,2438.09,2429.54,2429.54,117242
2016/1/5,940,2428.23,2428.23,2421.52,2421.52,107745
2016/1/5,941,2421.66,2421.66,2416.23,2416.23,98838
2016/1/5,942,2418.48,2418.48,2413.48,2414.05,92398
2016/1/5,943,2413.7,2417.06,2412.42,2417.06,97711
2016/1/5,944,2415.75,2421.97,2414.86,2421.97,98629
2016/1/5,945,2421.95,2430.14,2421.95,2429.84,77998
2016/1/5,946,2430.26,2438.14,2430.26,2438.14,78906
2016/1/5,947,2438.14,2444.53,2438.14,2444.53,82637
2016/1/5,948,2445.54,2454.86,2445.53,2454.86,84097
2016/1/5,949,2455.68,2464.7,2455.68,2464.7,85102
2016/1/5,950,2465.74,2472.63,2465.69,2472.5,86175
2016/1/5,951,2473.37,2478.52,2473.37,2478.39,101879
2016/1/5,952,2479.18,2481.2,2476.66,2476.66,100539
2016/1/5,953,2475.13,2475.23,2468.11,2468.15,119625
2016/1/5,954,2468.15,2468.15,2460,2460,87301
2016/1/5,955,2460,2460.01,2454.34,2454.34,66236
2016/1/5,956,2453.66,2453.66,2451.47,2451.58,75584
2016/1/5,957,2451.21,2452.29,2451.21,2452.29,57251
2016/1/5,958,2452.7,2457.42,2452.12,2457.42,62285
2016/1/5,959,2457.42,2461.53,2457.42,2461.53,57591
2016/1/5,1000,2460.88,2463.11,2460.88,2462.07,56450
2016/1/5,1001,2461.32,2461.32,2448.72,2448.72,85297
2016/1/5,1002,2447.99,2447.99,2437.59,2437.59,69536
2016/1/5,1003,2437.59,2437.59,2427.42,2429.01,78106
2016/1/5,1004,2429.01,2429.01,2423.48,2423.48,70508
2016/1/5,1005,2424.07,2428.92,2423.82,2428.45,79271
2016/1/5,1006,2428.45,2432.62,2427.94,2432.62,67134
2016/1/5,1007,2432.63,2435.53,2432.63,2435.08,43630
2016/1/5,1008,2435.71,2436.36,2435.03,2435.16,40807
2016/1/5,1009,2435.15,2435.15,2432.16,2432.39,43818
2016/1/5,1010,2432.51,2432.51,2430.55,2430.55,44839
2016/1/5,1011,2430.78,2432.78,2430.44,2431.95,42749
2016/1/5,1012,2432.74,2435.71,2432.44,2435.71,47130
2016/1/5,1013,2435.46,2440.33,2435.46,2440.33,46302
2016/1/5,1014,2440.73,2447.03,2440.73,2447.03,43882
2016/1/5,1015,2447.03,2451.31,2447.03,2451.19,39855
2016/1/5,1016,2451.78,2453.55,2451.59,2452.07,40658
2016/1/5,1017,2452.07,2453.17,2447.71,2448.19,46768
2016/1/5,1018,2448.19,2448.19,2441.68,2441.68,46670
2016/1/5,1019,2441.18,2441.18,2439,2439.05,34927
2016/1/5,1020,2438.71,2439.22,2437.11,2437.22,34529
2016/1/5,1021,2437.58,2437.88,2436.94,2437.13,29565
2016/1/5,1022,2437.13,2438.5,2437.13,2438.5,32168
2016/1/5,1023,2438.5,2440.08,2438.5,2440.08,31102
2016/1/5,1024,2440.1,2441.71,2440.1,2441.24,32776
2016/1/5,1025,2441.09,2441.09,2439.37,2440.16,38419
2016/1/5,1026,2439.79,2440.95,2439.28,2440.08,35162
2016/1/5,1027,2440.84,2441.58,2440.01,2441.41,36579
2016/1/5,1028,2441.41,2442.73,2441.25,2442.73,30040
2016/1/5,1029,2442.73,2443.56,2442.64,2443.43,30226
2016/1/5,1030,2443.45,2446.01,2443.45,2446.01,31486
2016/1/5,1031,2446.3,2452.28,2446.3,2452.28,52782
2016/1/5,1032,2452.28,2456.85,2452.28,2456.85,48065
2016/1/5,1033,2456.85,2460.52,2456.85,2460.52,48816
2016/1/5,1034,2460.52,2461.62,2460.52,2461.3,44201
2016/1/5,1035,2461.3,2461.3,2458.31,2458.31,42895
2016/1/5,1036,2458.11,2458.11,2455.2,2455.2,37570
2016/1/5,1037,2455.66,2455.66,2453.61,2453.61,32526
2016/1/5,1038,2453.55,2453.62,2452.38,2452.39,28356
2016/1/5,1039,2452.52,2452.97,2451.69,2452.37,25132
2016/1/5,1040,2452.37,2452.46,2451.81,2451.96,26126
2016/1/5,1041,2452.11,2452.26,2450.9,2451.34,24757
2016/1/5,1042,2451.17,2451.17,2448.2,2448.2,29964
2016/1/5,1043,2448.21,2448.21,2445.84,2446.54,28270
2016/1/5,1044,2446.47,2446.47,2444.02,2444.02,27312
2016/1/5,1045,2443.92,2443.94,2442.41,2442.87,27554
2016/1/5,1046,2442.85,2442.92,2441.85,2441.95,25093
2016/1/5,1047,2441.7,2441.94,2441.37,2441.55,23694
2016/1/5,1048,2442.03,2444.14,2441.81,2444.08,35066
2016/1/5,1049,2444.24,2447.8,2444.24,2447.8,32278
2016/1/5,1050,2447.8,2450.22,2447.8,2449.63,28379
2016/1/5,1051,2450.33,2450.65,2449.16,2449.54,24508
2016/1/5,1052,2449.23,2449.23,2447.25,2447.97,30479
2016/1/5,1053,2447.74,2448.68,2446.7,2448.2,24629
2016/1/5,1054,2448.13,2449.62,2447.98,2448.23,24575
2016/1/5,1055,2449.44,2449.92,2448.7,2448.7,26753
2016/1/5,1056,2448.99,2450.53,2448.99,2449.28,26488
2016/1/5,1057,2450.11,2451.81,2450.11,2450.96,28932
2016/1/5,1058,2450.82,2452.95,2450.82,2451.73,30181
2016/1/5,1059,2451.39,2453.09,2451.39,2452.23,31863
2016/1/5,1100,2452.17,2456.34,2452.17,2456.34,33864
2016/1/5,1101,2456.72,2460.07,2456.15,2459.72,39893
2016/1/5,1102,2459.31,2463.19,2459.31,2462.58,38551
2016/1/5,1103,2462.38,2466.15,2462.22,2465.95,45015
2016/1/5,1104,2466.17,2468.24,2466.17,2468.08,50008
2016/1/5,1105,2468.13,2470.27,2467.62,2470.27,52289
2016/1/5,1106,2470.04,2470.16,2468.03,2469.23,47084
2016/1/5,1107,2469.06,2469.09,2467.36,2467.5,39740
2016/1/5,1108,2467.19,2467.19,2463.89,2463.89,34739
2016/1/5,1109,2463.75,2463.75,2462.65,2463.34,28708
2016/1/5,1110,2463.34,2464.18,2462.66,2463.91,29136
2016/1/5,1111,2464.25,2465.14,2463.93,2465.14,27847
2016/1/5,1112,2465.18,2465.44,2464.65,2465.15,24195
2016/1/5,1113,2465.23,2465.57,2464.78,2464.99,23966
2016/1/5,1114,2464.93,2464.99,2464.06,2464.21,23474
2016/1/5,1115,2464.11,2464.39,2463.69,2463.77,24494
2016/1/5,1116,2464.03,2464.27,2463.63,2463.63,20740
2016/1/5,1117,2463.71,2464.03,2462.49,2462.49,24620
2016/1/5,1118,2462.08,2462.16,2459.26,2459.26,28440
2016/1/5,1119,2459.34,2459.34,2456.13,2456.27,30844
2016/1/5,1120,2456.27,2456.43,2454.28,2454.49,25737
2016/1/5,1121,2454.37,2454.37,2453.16,2453.57,29700
2016/1/5,1122,2453.64,2453.95,2453.02,2453.62,25499
2016/1/5,1123,2453.54,2455.17,2453.54,2454.89,21816
2016/1/5,1124,2454.89,2455.71,2454.89,2455.58,17480
2016/1/5,1125,2455.69,2456.21,2455.48,2456.06,17435
2016/1/5,1126,2456.07,2457.28,2455.96,2457.16,16997
2016/1/5,1127,2457.05,2457.35,2457.04,2457.25,16619
2016/1/5,1128,2457.13,2457.37,2456.74,2457.25,17395
2016/1/5,1129,2457.19,2457.42,2456.15,2456.3,16986
2016/1/5,1300,2456.48,2456.95,2455.86,2456.55,62245
2016/1/5,1301,2456.55,2456.55,2456.55,2456.55,0
2016/1/5,1302,2455.64,2455.95,2454.89,2455.54,24471
2016/1/5,1303,2455.63,2456.7,2455.63,2456.42,17979
2016/1/5,1304,2456.79,2457.01,2456.56,2456.91,19095
2016/1/5,1305,2457,2457.43,2456.86,2457.06,17251
2016/1/5,1306,2457.15,2457.15,2456.32,2456.58,21039
2016/1/5,1307,2456.47,2456.47,2454.73,2454.73,23438
2016/1/5,1308,2454.93,2454.93,2453,2453,25039
2016/1/5,1309,2452.95,2452.95,2450.35,2450.35,25064
2016/1/5,1310,2450.2,2450.2,2448.19,2448.26,26149
2016/1/5,1311,2447.82,2448.01,2446.56,2446.73,30525
2016/1/5,1312,2446.56,2446.56,2445.55,2445.55,25628
2016/1/5,1313,2445.86,2445.86,2444.31,2444.44,27229
2016/1/5,1314,2443.88,2443.88,2441.49,2441.49,36744
2016/1/5,1315,2441.62,2441.62,2437.61,2437.61,38478
2016/1/5,1316,2437.5,2437.5,2432.65,2432.65,41775
2016/1/5,1317,2432.41,2432.41,2428.56,2428.56,44664
2016/1/5,1318,2428.51,2428.51,2425.96,2425.96,51220
2016/1/5,1319,2425.96,2425.96,2423.25,2423.25,52834
2016/1/5,1320,2423.36,2423.36,2422.06,2422.12,47144
2016/1/5,1321,2422.07,2426.03,2422.07,2426.03,49269
2016/1/5,1322,2426.03,2429.66,2426.03,2429.66,41231
2016/1/5,1323,2430.09,2432.83,2430.09,2432.16,33015
2016/1/5,1324,2432.16,2432.76,2431.64,2431.89,30124
2016/1/5,1325,2431.87,2431.87,2428.28,2428.28,31161
2016/1/5,1326,2428.28,2428.28,2421.87,2421.87,42445
2016/1/5,1327,2421.56,2421.56,2415.28,2415.28,54166
2016/1/5,1328,2414.83,2414.83,2407.02,2407.02,74576
2016/1/5,1329,2407.02,2407.02,2399.95,2399.95,79432
2016/1/5,1330,2399.58,2399.58,2393.77,2393.85,76548
2016/1/5,1331,2393.69,2393.69,2387.26,2387.28,86766
2016/1/5,1332,2387.28,2387.28,2382.73,2382.73,76792
2016/1/5,1333,2382.73,2383.93,2381.43,2383.93,79695
2016/1/5,1334,2383.91,2390.44,2383.8,2390.44,63976
2016/1/5,1335,2391.21,2399.38,2391.21,2399.38,54257
2016/1/5,1336,2399.3,2405.12,2399.3,2405.12,43900
2016/1/5,1337,2405.25,2406.76,2405.25,2405.7,43226
2016/1/5,1338,2405.71,2405.71,2398.07,2398.07,41300
2016/1/5,1339,2398.09,2398.09,2393.73,2393.73,34700
2016/1/5,1340,2393.71,2393.71,2392.15,2392.4,39984
2016/1/5,1341,2392.35,2393.3,2392.14,2392.97,35662
2016/1/5,1342,2392.97,2400.81,2392.94,2400.81,41783
2016/1/5,1343,2400.88,2408.18,2400.88,2408.18,45637
2016/1/5,1344,2408.65,2411.9,2408.65,2411.64,34606
2016/1/5,1345,2411.64,2413.73,2411.64,2413.14,34239
2016/1/5,1346,2413.48,2413.48,2410.88,2410.88,31781
2016/1/5,1347,2410.84,2411.1,2409.22,2409.26,29455
2016/1/5,1348,2409.11,2409.11,2406.65,2407.03,25533
2016/1/5,1349,2406.54,2406.54,2405.33,2405.65,22411
2016/1/5,1350,2405.65,2405.82,2404.94,2405.72,23993
